rank	FunSim	Hamaneh	ModuleSim	NetSim	Sun_topo
628	70.0	70.0	70.0	70.0	70.0
629	70.0	70.0	70.0	70.0	70.0
630	70.0	70.0	70.0	70.0	70.0
631	70.0	70.0	70.0	70.0	70.0
632	70.0	70.0	70.0	70.0	70.0
633	70.0	70.0	70.0	70.0	70.0
634	70.0	70.0	70.0	70.0	70.0
635	70.0	70.0	70.0	70.0	70.0
636	70.0	70.0	70.0	70.0	70.0
637	70.0	70.0	70.0	70.0	70.0
638	70.0	70.0	70.0	70.0	70.0
639	70.0	70.0	70.0	70.0	70.0
640	70.0	70.0	70.0	70.0	70.0
641	70.0	70.0	70.0	70.0	70.0
642	70.0	70.0	70.0	70.0	70.0
643	70.0	70.0	70.0	70.0	70.0
644	70.0	70.0	70.0	70.0	70.0
645	70.0	70.0	70.0	70.0	70.0
646	70.0	70.0	70.0	70.0	70.0
647	70.0	70.0	70.0	70.0	70.0
648	70.0	70.0	70.0	70.0	70.0
649	70.0	70.0	70.0	70.0	70.0
650	70.0	70.0	70.0	70.0	70.0
651	70.0	70.0	70.0	70.0	70.0
652	70.0	70.0	70.0	70.0	70.0
653	70.0	70.0	70.0	70.0	70.0
654	70.0	70.0	70.0	70.0	70.0
655	70.0	70.0	70.0	70.0	70.0
656	70.0	70.0	70.0	70.0	70.0
657	70.0	70.0	70.0	70.0	70.0
658	70.0	70.0	70.0	70.0	70.0
659	70.0	70.0	70.0	70.0	70.0
660	70.0	70.0	70.0	70.0	70.0
661	70.0	70.0	70.0	70.0	70.0
662	70.0	70.0	70.0	70.0	70.0
663	70.0	70.0	70.0	70.0	70.0
664	70.0	70.0	70.0	70.0	70.0
665	70.0	70.0	70.0	70.0	70.0
666	70.0	70.0	70.0	70.0	70.0
667	70.0	70.0	70.0	70.0	70.0
668	70.0	70.0	70.0	70.0	70.0
669	70.0	70.0	70.0	70.0	70.0
670	70.0	70.0	70.0	70.0	70.0
671	70.0	70.0	70.0	70.0	70.0
672	70.0	70.0	70.0	70.0	70.0
673	70.0	70.0	70.0	70.0	70.0
674	70.0	70.0	70.0	70.0	70.0
675	70.0	70.0	70.0	70.0	70.0
676	70.0	70.0	70.0	70.0	70.0
677	70.0	70.0	70.0	70.0	70.0
678	70.0	70.0	70.0	70.0	70.0
679	70.0	70.0	70.0	70.0	70.0
680	70.0	70.0	70.0	70.0	70.0
681	70.0	70.0	70.0	70.0	70.0
682	70.0	70.0	70.0	70.0	70.0
683	70.0	70.0	70.0	70.0	70.0
684	70.0	70.0	70.0	70.0	70.0
685	70.0	70.0	70.0	70.0	70.0
686	70.0	70.0	70.0	70.0	70.0
687	70.0	70.0	70.0	70.0	70.0
688	70.0	70.0	70.0	70.0	70.0
689	70.0	70.0	70.0	70.0	70.0
690	70.0	70.0	70.0	70.0	70.0
691	70.0	70.0	70.0	70.0	70.0
692	70.0	70.0	70.0	70.0	70.0
693	70.0	70.0	70.0	70.0	70.0
694	70.0	70.0	70.0	70.0	70.0
695	70.0	70.0	70.0	70.0	70.0
696	70.0	70.0	70.0	70.0	70.0
697	70.0	70.0	70.0	70.0	70.0
698	70.0	70.0	70.0	70.0	70.0
699	70.0	70.0	70.0	70.0	70.0
700	70.0	70.0	70.0	70.0	70.0
701	70.0	70.0	70.0	70.0	70.0
702	70.0	70.0	70.0	70.0	70.0
703	70.0	70.0	70.0	70.0	70.0
704	70.0	70.0	70.0	70.0	70.0
705	70.0	70.0	70.0	70.0	70.0
706	70.0	70.0	70.0	70.0	70.0
707	70.0	70.0	70.0	70.0	70.0
708	70.0	70.0	70.0	70.0	70.0
709	70.0	70.0	70.0	70.0	70.0
710	70.0	70.0	70.0	70.0	70.0
711	70.0	70.0	70.0	70.0	70.0
712	70.0	70.0	70.0	70.0	70.0
713	70.0	70.0	70.0	70.0	70.0
714	70.0	70.0	70.0	70.0	70.0
715	70.0	70.0	70.0	70.0	70.0
716	70.0	70.0	70.0	70.0	70.0
717	70.0	70.0	70.0	70.0	70.0
718	70.0	70.0	70.0	70.0	70.0
719	70.0	70.0	70.0	70.0	70.0
720	70.0	70.0	70.0	70.0	70.0
721	70.0	70.0	70.0	70.0	70.0
722	70.0	70.0	70.0	70.0	70.0
723	70.0	70.0	70.0	70.0	70.0
724	70.0	70.0	70.0	70.0	70.0
725	70.0	70.0	70.0	70.0	70.0
726	70.0	70.0	70.0	70.0	70.0
727	70.0	70.0	70.0	70.0	70.0
728	70.0	70.0	70.0	70.0	70.0
729	70.0	70.0	70.0	70.0	70.0
730	70.0	70.0	70.0	70.0	70.0
731	70.0	70.0	70.0	70.0	70.0
732	70.0	70.0	70.0	70.0	70.0
733	70.0	70.0	70.0	70.0	70.0
734	70.0	70.0	70.0	70.0	70.0
735	70.0	70.0	70.0	70.0	70.0
736	70.0	70.0	70.0	70.0	70.0
737	70.0	70.0	70.0	70.0	70.0
738	70.0	70.0	70.0	70.0	70.0
739	70.0	70.0	70.0	70.0	70.0
740	70.0	70.0	70.0	70.0	70.0
741	70.0	70.0	70.0	70.0	70.0
742	70.0	70.0	70.0	70.0	70.0
743	70.0	70.0	70.0	70.0	70.0
744	70.0	70.0	70.0	70.0	70.0
745	70.0	70.0	70.0	70.0	70.0
746	70.0	70.0	70.0	70.0	70.0
747	70.0	70.0	70.0	70.0	70.0
748	70.0	70.0	70.0	70.0	70.0
749	70.0	70.0	70.0	70.0	70.0
750	70.0	70.0	70.0	70.0	70.0
751	70.0	70.0	70.0	70.0	70.0
752	70.0	70.0	70.0	70.0	70.0
753	70.0	70.0	70.0	70.0	70.0
754	70.0	70.0	70.0	70.0	70.0
755	70.0	70.0	70.0	70.0	70.0
756	70.0	70.0	70.0	70.0	70.0
757	70.0	70.0	70.0	70.0	70.0
758	70.0	70.0	70.0	70.0	70.0
759	70.0	70.0	70.0	70.0	70.0
760	70.0	70.0	70.0	70.0	70.0
761	70.0	70.0	70.0	70.0	70.0
762	70.0	70.0	70.0	70.0	70.0
763	70.0	70.0	70.0	70.0	70.0
764	70.0	70.0	70.0	70.0	70.0
765	70.0	70.0	70.0	70.0	70.0
766	70.0	70.0	70.0	70.0	70.0
767	70.0	70.0	70.0	70.0	70.0
768	70.0	70.0	70.0	70.0	70.0
769	70.0	70.0	70.0	70.0	70.0
770	70.0	70.0	70.0	70.0	70.0
